concedente,tipo_vaga,vaga,tipo_cota,no_salario_inicio,no_salario_limite,carga_horaria,dt_vigencia_inicio,dt_vigencia_limite,cidade,no_qtd_vagas,qt_candidatos,qt_contratados
SUPERAGRO,EMPREGO,"ASSISTENTE TECNICO COMERCIAL","AMPLA CONCORRÊNCIA",2000.00,2800.00,44,01/10/2022,01/01/2023,UBERLÂNDIA,1,6,0
THIAGRO,"ESTÁGIO REMUNERADO","ASSISTENTE TÉCNICO EM AGRICULTURA DE PRECISÃO - AT","AMPLA CONCORRÊNCIA",960.00,1000.00,36,01/08/2021,21/12/2021,JATAÍ,1,3,0
"TOMAS SOLUCOES AMBIENTAIS","ESTÁGIO NÃO REMUNERADO","ASSISTÊNCIA TÉCNICA  ","AMPLA CONCORRÊNCIA",,,32,07/09/2022,07/12/2022,"CAMPINA VERDE",1,1,0
"UNIPETRO MINAS",EMPREGO,"CARGO: VENDEDOR EXTERNO PARA ÓLEO DIESEL.","AMPLA CONCORRÊNCIA",2000.00,3000.00,44,13/10/2022,13/11/2022,UBERLÂNDIA,1,1,0
"UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO","ESTÁGIO REMUNERADO",ADMINISTRAÇÃO,"AMPLA CONCORRÊNCIA",787.98,1000.00,20,01/06/2022,01/06/2023,UBERABA,2,8,0
"UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO","ESTÁGIO REMUNERADO","TÉCNICO EM INFORMÁTICA","AMPLA CONCORRÊNCIA",486.05,700.00,20,01/06/2022,01/07/2023,UBERABA,1,20,0
"VENTURE VEICULOS","ESTÁGIO REMUNERADO","ESTAGIO ANALISTA DE SUPORTE JR","AMPLA CONCORRÊNCIA",1000.00,1000.00,30,01/04/2022,01/10/2022,ITUIUTABA,1,7,0
"VINICIUS MARCONDES CAMARGO TERIN","ESTÁGIO REMUNERADO","ESTÁGIO EM FAZENDA DE CICLO COMPLETO ","AMPLA CONCORRÊNCIA",500.00,1000.00,40,01/08/2023,31/12/2023,SERRANÓPOLIS,1,0,0
"VINICIUS MARCONDES CAMARGO TERIN","ESTÁGIO REMUNERADO","AUXILIAR AGROPECUÁRIO ","AMPLA CONCORRÊNCIA",500.00,1000.00,40,01/08/2023,31/12/2023,SERRANÓPOLIS,1,0,0
YAMO,"ESTÁGIO NÃO REMUNERADO","ESTAGIÁRIO(A) TECNOLOGIA EM ALIMENTOS / TÉCNICO EM ALIMENTOS","AMPLA CONCORRÊNCIA",,,20,03/01/2022,29/07/2022,UBERLÂNDIA,1,15,0
